id,Period,Data_value,Series_title_2
1,2001.03,,Credit
2,2002.03,,Credit
3,2003.03,,Credit
4,2004.03,16307.6,Credit
5,2005.03,18481.2,Credit
6,2006.03,20210.6,Credit
7,2007.03,22272.1,Credit
8,2008.03,23982.4,Credit
9,2009.03,24381.1,Credit
10,2010.03,24135.6,Credit
11,2011.03,24851.6,Credit
12,2012.03,26411.2,Credit
13,2013.03,27504.1,Credit
14,2014.03,29840.0,Credit
15,2015.03,31607.8,Credit
16,2016.03,34681.6,Credit
17,2017.03,39191.6,Credit
18,2018.03,46065.7,Credit
19,2019.03,50302.3,Credit
20,2020.03,52670.7,Credit
21,2021.03,55518.7,Credit
22,2022.03,61696.6,Credit
23,2001.03,,Debit
24,2002.03,,Debit
25,2003.03,,Debit
26,2004.03,20571.1,Debit
27,2005.03,22274.9,Debit
28,2006.03,24093.1,Debit
29,2007.03,26344.6,Debit
30,2008.03,28686.8,Debit
31,2009.03,30094.4,Debit
32,2010.03,31841.8,Debit
33,2011.03,33773.3,Debit
34,2012.03,36203.5,Debit
35,2013.03,37792.0,Debit
36,2014.03,39407.1,Debit
37,2015.03,40712.5,Debit
38,2016.03,41807.0,Debit
39,2017.03,42142.5,Debit
40,2018.03,41618.6,Debit
41,2019.03,41143.5,Debit
42,2020.03,41298.0,Debit
43,2021.03,34397.4,Debit
44,2022.03,33128.3,Debit
45,2001.03,,Services
46,2002.03,,Services
47,2003.03,,Services
48,2004.03,981.4,Services
49,2005.03,1129.4,Services
50,2006.03,1269.5,Services
51,2007.03,1412.3,Services
52,2008.03,1563.6,Services
53,2009.03,1671.6,Services
54,2010.03,1762.2,Services
55,2011.03,1846.8,Services
56,2012.03,1975.0,Services
57,2013.03,2096.4,Services
58,2014.03,2358.2,Services
59,2015.03,2591.7,Services
60,2016.03,2796.7,Services
61,2017.03,3023.5,Services
62,2018.03,3304.7,Services
63,2019.03,3525.6,Services
64,2020.03,3630.0,Services
65,2021.03,3465.2,Services
66,2022.03,3554.4,Services
67,2001.03,,Credit
68,2002.03,,Credit
69,2003.03,,Credit
70,2004.03,175164639.0,Credit
71,2005.03,195790533.0,Credit
72,2006.03,210968205.0,Credit
73,2007.03,225913337.0,Credit
74,2008.03,240051535.0,Credit
75,2009.03,245016363.0,Credit
76,2010.03,251415302.0,Credit
77,2011.03,256962888.0,Credit
78,2012.03,271075612.0,Credit
79,2013.03,289001419.0,Credit
80,2014.03,323503974.0,Credit
81,2015.03,363251739.0,Credit
82,2016.03,430282120.0,Credit
83,2017.03,543191000.0,Credit
84,2018.03,693853089.0,Credit
85,2019.03,793562791.0,Credit
86,2020.03,852565339.0,Credit
87,2021.03,967199480.0,Credit
88,2022.03,1055538960.0,Credit
89,2001.03,,Debit
90,2002.03,,Debit
91,2003.03,,Debit
92,2004.03,509814572.0,Debit
93,2005.03,558839222.0,Debit
94,2006.03,610772760.0,Debit
95,2007.03,666142647.0,Debit
96,2008.03,734739528.0,Debit
97,2009.03,782427695.0,Debit
98,2010.03,840540083.0,Debit
99,2011.03,894644906.0,Debit
100,2012.03,944043462.0,Debit
101,2013.03,983374794.0,Debit
102,2014.03,1026274143.0,Debit
103,2015.03,1063773918.0,Debit
104,2016.03,1083708547.0,Debit
105,2017.03,1084268722.0,Debit
106,2018.03,1060412526.0,Debit
107,2019.03,1041887440.0,Debit
108,2020.03,1021875875.0,Debit
109,2021.03,765492859.0,Debit
110,2022.03,709745173.0,Debit
111,2000.01,,Credit
112,2000.02,,Credit
113,2000.03,,Credit
114,2000.04,,Credit
115,2000.05,,Credit
116,2000.06,,Credit
117,2000.07,,Credit
118,2000.08,,Credit
119,2000.09,,Credit
120,2000.1,,Credit
121,2000.11,,Credit
122,2000.12,,Credit
123,2001.01,,Credit
124,2001.02,,Credit
125,2001.03,,Credit
126,2001.04,,Credit
127,2001.05,,Credit
128,2001.06,,Credit
129,2001.07,,Credit
130,2001.08,,Credit
131,2001.09,,Credit
132,2001.1,,Credit
133,2001.11,,Credit
134,2001.12,,Credit
